prot	pepSeqNum	tgNum	guot_L130410_035_SW			
Q9UBE0	2	2	41740			
Q9BSJ8	11	12	49679			
P02656	3	4	61353			
O95741	1	1	4166			
P09651	4	7	108752			
P55809	13	17	155383			
Q15631	3	3	94063			
Q96EY1	5	6	113301			
Q16706	6	6	23083			
Q9UID3	1	1	3620			
O14548	3	4	91263			
O95164	1	1	15510			
P54710	2	2	21035			
P22570	15	20	525775			
P80723	6	6	9669			
P41252	12	12	141595			
O60443	1	1	26339			
P01019	6	9	78503			
Q86VP6	20	20	189568			
O43865	1	1	113386			
P05388	5	7	149264			
P21980	14	18	151578			
Q8N5J2	2	2	75264			
P17948	3	3	47264			
P07741	6	7	457100			
Q96EK6	2	3	30180			
Q9H3S7	1	1	8554			
P50990	22	23	165200			
Q14315	1	1	96839			
P14868	18	19	296116			
P29992	4	4	64640			
Q9NYF8	2	2	36606			
Q9UBN7	3	3	60699			
P00325	6	10	105742			
O75264	1	2	42682			
O76041	1	1	17285			
P03952	1	1	15480			
P16870	1	1	27733			
P49327	64	70	229003			
P17096	1	1	24001			
Q15029	7	7	104582			
O43570	7	9	63667			
P50453	5	5	84843			
P08123	8	9	140672			
Q9Y6I9	1	1	6670			
Q9BQ69	2	2	73727			
O15460	5	5	44491			
Q9UK45	1	1	33100			
Q07812	2	2	60948			
P07093	7	7	185799			
Q49A88	1	1	4983			
Q8IZQ5	1	1	49217			
Q16181	12	14	131189			
O43583	1	1	17352			
Q96BI1	1	1	15451			
Q8IV36	1	1	30261			
P01876	3	4	138275			
Q6IPR1	1	1	17234			
P00451	1	1	3380			
O00764	6	8	65077			
Q6L8Q7	2	2	36397			
P49257	6	7	120875			
Q9Y3E1	1	1	14752			
Q9H3Y0	1	1	11108			
P35241	7	8	136140			
P00403	7	7	345286			
O75533	7	7	170359			
O75947	10	13	486522			
Q9C002	1	1	11248			
P84157	3	3	14359			
Q63HN8	16	16	103649			
Q08426	32	36	147530			
Q9NRK6	1	1	15967			
P00441	4	5	118495			
P16144	1	1	19476			
P51148	6	6	54917			
O60925	1	1	35013			
P01714	1	1	7123			
Q9UII2	2	2	7923			
O75306	5	7	60048			
P51687	12	15	160643			
P51571	3	3	34615			
P31040	15	19	540247			
P17174	20	27	461369			
P56470	13	19	88003			
Q9Y2H6	1	1	168438			
Q8NI08	1	1	3067			
Q9UNM6	5	5	91985			
P09874	9	9	141010			
Q9NVH1	4	4	38328			
Q99832	11	11	120907			
P02452	8	8	82849			
Q5JTV8	4	4	121483			
O15127	2	3	67897			
Q8TBP6	1	1	4039			
Q99460	7	7	74540			
O75390	16	18	588806			
P48507	1	1	26188			
Q9BRP8	2	2	14182			
Q9Y291	1	1	31593			
P61247	7	8	197557			
Q08174	1	1	14305			
Q8N392	5	5	53174			
P22033	10	10	118487			
Q9HD67	1	1	8296			
A6ND91	2	2	121162			
P49591	5	5	121676			
P49585	1	1	38581			
Q12931	19	22	297606			
Q53GI3	1	1	60575			
Q8TBC4	1	1	31485			
Q9H3K2	1	1	44055			
Q15427	1	1	7279			
P42765	19	26	410894			
Q9UJ83	1	1	421870			
