prot	pepSeqNum	tgNum	guot_L130410_025c_SW		
Q9UBE0	2	2	16042		
Q9BSJ8	11	12	69309		
P02656	3	4	193169		
O95741	1	1	3346		
P09651	4	7	35568		
P55809	13	17	83778		
Q15631	3	3	32000		
Q96EY1	5	6	41170		
Q16706	6	6	25279		
Q9UID3	1	1	350		
O14548	3	4	24638		
O95164	1	1	6429		
P54710	2	2	9209		
P22570	15	20	76727		
P80723	6	6	38000		
P41252	12	12	25581		
O60443	1	1	7971		
P01019	6	9	102963		
Q86VP6	20	20	110438		
O43865	1	1	30162		
P05388	5	7	52216		
P21980	14	18	63079		
Q8N5J2	2	2	40925		
P17948	3	3	110952		
P07741	6	7	113853		
Q96EK6	2	3	26794		
Q9H3S7	1	1	3818		
P50990	22	23	64469		
Q14315	1	1	89296		
P14868	18	19	404081		
P29992	4	4	40588		
Q9NYF8	2	2	13882		
Q9UBN7	3	3	24462		
P00325	6	10	3515070		
O75264	1	2	23062		
O76041	1	1	3328		
P03952	1	1	26014		
P16870	1	1	8884		
P49327	64	70	2243363		
P17096	1	1	6443		
Q15029	7	7	38190		
O43570	7	9	29517		
P50453	5	5	47026		
P08123	8	9	809842		
Q9Y6I9	1	1	2414		
Q9BQ69	2	2	21359		
O15460	5	5	50055		
Q9UK45	1	1	10707		
Q07812	2	2	32791		
P07093	7	7	10992		
Q49A88	1	1	150		
Q8IZQ5	1	1	9178		
Q16181	12	14	35233		
O43583	1	1	5552		
Q96BI1	1	1	3728		
Q8IV36	1	1	12301		
P01876	3	4	792277		
Q6IPR1	1	1	10446		
P00451	1	1	2141		
O00764	6	8	55216		
Q6L8Q7	2	2	40551		
P49257	6	7	62396		
Q9Y3E1	1	1	6207		
Q9H3Y0	1	1	910		
P35241	7	8	500693		
P00403	7	7	168157		
O75533	7	7	28609		
O75947	10	13	119280		
Q9C002	1	1	5427		
P84157	3	3	8014		
Q63HN8	16	16	57689		
Q08426	32	36	24136		
Q9NRK6	1	1	28918		
P00441	4	5	27608		
P16144	1	1	5509		
P51148	6	6	23154		
O60925	1	1	13883		
P01714	1	1	13732		
Q9UII2	2	2	2490		
O75306	5	7	51846		
P51687	12	15	66852		
P51571	3	3	19540		
P31040	15	19	47026		
P17174	20	27	108899		
P56470	13	19	53454		
Q9Y2H6	1	1	66161		
Q8NI08	1	1	913		
Q9UNM6	5	5	73167		
P09874	9	9	35353		
Q9NVH1	4	4	27630		
Q99832	11	11	35077		
