prot	pepSeqNum	tgNum	guot_L130410_012_SW	
Q9UBE0	2	2	35712	
Q9BSJ8	11	12	52750	
P02656	3	4	194500	
O95741	1	1	4094	
P09651	4	7	118675	
P55809	13	17	117222	
Q15631	3	3	142954	
Q96EY1	5	6	62290	
Q16706	6	6	101223	
Q9UID3	1	1	2288	
O14548	3	4	50926	
O95164	1	1	10249	
P54710	2	2	24487	
P22570	15	20	257352	
P80723	6	6	9108	
P41252	12	12	85741	
O60443	1	1	12334	
P01019	6	9	145205	
Q86VP6	20	20	301764	
O43865	1	1	82479	
P05388	5	7	171178	
P21980	14	18	294049	
Q8N5J2	2	2	80843	
P17948	3	3	87589	
P07741	6	7	443220	
Q96EK6	2	3	37767	
Q9H3S7	1	1	11171	
P50990	22	23	306855	
Q14315	1	1	228377	
P14868	18	19	265847	
P29992	4	4	70168	
Q9NYF8	2	2	70406	
Q9UBN7	3	3	69510	
P00325	6	10	59030	
O75264	1	2	64042	
O76041	1	1	14860	
P03952	1	1	20613	
P16870	1	1	22642	
P49327	64	70	168538	
P17096	1	1	23807	
Q15029	7	7	90261	
O43570	7	9	62200	
P50453	5	5	112109	
P08123	8	9	123151	
Q9Y6I9	1	1	5300	
Q9BQ69	2	2	39179	
O15460	5	5	45010	
Q9UK45	1	1	34876	
Q07812	2	2	100475	
P07093	7	7	46944	
Q49A88	1	1	13613	
Q8IZQ5	1	1	50237	
Q16181	12	14	147811	
O43583	1	1	18057	
Q96BI1	1	1	19464	
Q8IV36	1	1	20405	
P01876	3	4	637021	
Q6IPR1	1	1	23143	
P00451	1	1	5203	
O00764	6	8	126299	
Q6L8Q7	2	2	39521	
P49257	6	7	168510	
Q9Y3E1	1	1	10585	
Q9H3Y0	1	1	3644	
P35241	7	8	252468	
P00403	7	7	215642	
O75533	7	7	255624	
O75947	10	13	295432	
Q9C002	1	1	13590	
P84157	3	3	10084	
Q63HN8	16	16	105575	
Q08426	32	36	130974	
Q9NRK6	1	1	37415	
P00441	4	5	140041	
P16144	1	1	14694	
P51148	6	6	71171	
O60925	1	1	57141	
P01714	1	1	16785	
Q9UII2	2	2	7512	
O75306	5	7	81231	
P51687	12	15	215343	
P51571	3	3	66264	
P31040	15	19	224431	
P17174	20	27	385800	
P56470	13	19	536083	
Q9Y2H6	1	1	385900	
Q8NI08	1	1	2472	
Q9UNM6	5	5	104797	
P09874	9	9	104139	
Q9NVH1	4	4	44102	
Q99832	11	11	167706	
P02452	8	8	85831	
Q5JTV8	4	4	54020	
O15127	2	3	98429	
Q8TBP6	1	1	13968	
Q99460	7	7	94078	
O75390	16	18	259875	
P48507	1	1	54028	
Q9BRP8	2	2	10089	
Q9Y291	1	1	28985	
P61247	7	8	170082	
Q08174	1	1	22465	
Q8N392	5	5	59967	
P22033	10	10	113024	
Q9HD67	1	1	8535	
A6ND91	2	2	201789	
P49591	5	5	153869	
P49585	1	1	34831	
Q12931	19	22	208456	
Q53GI3	1	1	57582	
Q8TBC4	1	1	28219	
Q9H3K2	1	1	56038	
Q15427	1	1	17945	
P42765	19	26	1508981	
Q9UJ83	1	1	195516	
Q8NBX0	6	6	129338	
Q96LJ7	1	1	13836	
Q12929	4	4	55832	
P02748	13	14	189840	
P10253	15	16	138287	
P51149	10	12	270173	
Q8IVF2	12	12	586846	
Q01995	18	19	116203	
O00338	1	1	16069	
Q4KMP7	1	1	64486	
Q9BUQ8	1	1	13447	
Q96HN2	2	2	102662	
P11413	12	13	117856	
Q8IYB8	1	1	16761	
Q969H8	4	4	177915	
Q9BV20	4	4	53495	
Q07020	4	4	136646	
P04181	9	10	135604	
Q5SSJ5	7	8	100405	
Q15437	4	4	49953	
Q8TEK3	1	1	34195	
P55036	2	2	89625	
Q53FZ2	9	9	100127	
P84243	1	1	1393	
O43813	5	5	128175	
P35558	20	23	297793	
Q9UBF2	1	1	2419	
P42704	52	63	180410	
O95292	2	2	88391	
O94905	6	7	106471	
O43895	6	6	92823	
P62312	2	2	81411	
P02765	3	3	182873	
Q9H2W6	4	4	52655	
Q9Y5P6	1	1	57084	
P06756	8	8	70255	
P55735	2	2	79136	
Q8NBQ5	7	7	157358	
P13674	8	8	171254	
O14966	1	1	117634	
P55285	6	6	93236	
Q9BPX6	1	1	1660	
O43852	12	14	173826	
P53041	1	1	26590	
Q14254	8	8	60304	
Q08431	1	1	25663	
O00483	4	5	106585	
Q92522	4	4	63185	
Q96B36	1	1	24923	
P51606	4	4	81801	
P00505	31	37	179786	
Q9ULC4	1	1	7274	
P27694	4	4	115536	
P05198	6	6	126573	
Q92499	12	12	191824	
P98160	68	93	413347	
P55268	30	34	247224	
Q9HAT2	7	8	90634	
P08185	3	3	78548	
O60763	18	19	111590	
Q13564	2	2	28470	
P05026	7	10	64081	
Q13586	4	4	32433	
P05455	10	10	154450	
P17516	1	1	66187	
O94906	4	4	57032	
P04271	1	1	86113	
Q96FN4	1	1	8946	
O95379	1	1	12086	
O96019	2	2	49914	
Q2M389	1	1	1522	
Q99715	44	46	164335	
P51991	10	13	204098	
Q9H1K1	1	1	162766	
P08195	9	10	220038	
Q9H008	4	4	53245	
P32929	3	3	64716	
P04217	10	14	354111	
P43686	6	6	46375	
Q9BQI9	1	1	10603	
Q96G23	1	1	28097	
Q5SYB0	1	1	143616	
P48637	20	23	179033	
Q9UGV2	1	1	21524	
P00533	2	2	62948	
P63208	4	5	225773	
P63010	9	9	255270	
Q9UMS0	1	1	34670	
P02549	25	26	143096	
Q9H3Z4	1	1	22138	
P21589	3	4	115082	
A6NL28	3	4	174804	
P04004	7	10	365060	
P31323	4	4	82879	
Q9UJW0	1	1	23617	
Q9NR31	3	4	82487	
P28074	2	3	52711	
O95479	2	2	50170	
O94979	11	11	129615	
Q00610	50	62	503238	
Q9UN86	2	2	108436	
Q6AWC2	1	1	609583	
Q9BZQ8	1	1	17020	
Q9NRL2	1	1	538415	
