prot	pepSeqNum	tgNum	guot_L130410_034_SW
Q9UBE0	2	2	29078
Q9BSJ8	11	12	80761
P02656	3	4	86180
O95741	1	1	5558
P09651	4	7	118167
P55809	13	17	84064
Q15631	3	3	78399
Q96EY1	5	6	91185
Q16706	6	6	49525
Q9UID3	1	1	4957
O14548	3	4	47229
O95164	1	1	11418
P54710	2	2	19644
P22570	15	20	232661
P80723	6	6	31307
P41252	12	12	76231
O60443	1	1	19668
P01019	6	9	67588
Q86VP6	20	20	254756
O43865	1	1	123699
P05388	5	7	212943
P21980	14	18	637838
Q8N5J2	2	2	65288
P17948	3	3	38627
P07741	6	7	467576
Q96EK6	2	3	32949
Q9H3S7	1	1	6019
P50990	22	23	212604
Q14315	1	1	351972
P14868	18	19	234882
P29992	4	4	55581
Q9NYF8	2	2	49118
Q9UBN7	3	3	52371
P00325	6	10	88822
O75264	1	2	45962
O76041	1	1	6880
P03952	1	1	13397
P16870	1	1	22673
P49327	64	70	138995
P17096	1	1	23907
Q15029	7	7	83440
O43570	7	9	59602
P50453	5	5	101551
P08123	8	9	147749
Q9Y6I9	1	1	4548
Q9BQ69	2	2	57206
O15460	5	5	62111
Q9UK45	1	1	32302
Q07812	2	2	79605
P07093	7	7	37645
Q49A88	1	1	831
Q8IZQ5	1	1	27346
Q16181	12	14	120328
O43583	1	1	15110
Q96BI1	1	1	10670
Q8IV36	1	1	30295
P01876	3	4	340512
Q6IPR1	1	1	17839
P00451	1	1	1791
O00764	6	8	97566
Q6L8Q7	2	2	46298
P49257	6	7	153632
Q9Y3E1	1	1	11237
Q9H3Y0	1	1	4032
P35241	7	8	102019
P00403	7	7	128109
O75533	7	7	174910
O75947	10	13	226716
Q9C002	1	1	11191
P84157	3	3	18311
Q63HN8	16	16	128628
Q08426	32	36	162780
Q9NRK6	1	1	16319
P00441	4	5	184370
P16144	1	1	13194
P51148	6	6	56740
O60925	1	1	56922
P01714	1	1	9855
Q9UII2	2	2	4500
O75306	5	7	69656
P51687	12	15	142478
P51571	3	3	90449
P31040	15	19	211032
P17174	20	27	347283
P56470	13	19	82187
Q9Y2H6	1	1	188615
Q8NI08	1	1	1583
Q9UNM6	5	5	116178
P09874	9	9	94756
Q9NVH1	4	4	49449
Q99832	11	11	151973
P02452	8	8	62402
Q5JTV8	4	4	36716
O15127	2	3	69054
Q8TBP6	1	1	10864
Q99460	7	7	83408
O75390	16	18	315892
P48507	1	1	30582
Q9BRP8	2	2	11300
Q9Y291	1	1	38185
P61247	7	8	262716
Q08174	1	1	15195
Q8N392	5	5	54202
P22033	10	10	94436
Q9HD67	1	1	6029
A6ND91	2	2	161119
P49591	5	5	92997
P49585	1	1	43970
Q12931	19	22	196763
Q53GI3	1	1	47928
Q8TBC4	1	1	27038
Q9H3K2	1	1	44677
Q15427	1	1	14378
P42765	19	26	379012
Q9UJ83	1	1	230648
Q8NBX0	6	6	63185
Q96LJ7	1	1	5144
Q12929	4	4	61682
P02748	13	14	127215
P10253	15	16	163843
P51149	10	12	215401
Q8IVF2	12	12	576245
Q01995	18	19	1084029
O00338	1	1	22180
Q4KMP7	1	1	41994
Q9BUQ8	1	1	11590
Q96HN2	2	2	109459
P11413	12	13	157396
Q8IYB8	1	1	17063
Q969H8	4	4	160233
Q9BV20	4	4	47367
Q07020	4	4	150121
P04181	9	10	92710
Q5SSJ5	7	8	79554
Q15437	4	4	64390
Q8TEK3	1	1	48669
P55036	2	2	64220
Q53FZ2	9	9	97903
P84243	1	1	1090
O43813	5	5	74858
P35558	20	23	233734
Q9UBF2	1	1	2616
P42704	52	63	196493
O95292	2	2	79361
O94905	6	7	65975
O43895	6	6	105543
P62312	2	2	60524
P02765	3	3	117310
Q9H2W6	4	4	50449
Q9Y5P6	1	1	57005
P06756	8	8	76035
P55735	2	2	81486
Q8NBQ5	7	7	60770
P13674	8	8	131126
O14966	1	1	46001
P55285	6	6	92279
Q9BPX6	1	1	890
O43852	12	14	310122
P53041	1	1	23470
Q14254	8	8	72321
Q08431	1	1	34382
O00483	4	5	92444
Q92522	4	4	34736
Q96B36	1	1	34692
P51606	4	4	68953
P00505	31	37	152046
Q9ULC4	1	1	4553
P27694	4	4	56159
P05198	6	6	135491
Q92499	12	12	167999
P98160	68	93	430429
P55268	30	34	118024
Q9HAT2	7	8	111585
P08185	3	3	72682
O60763	18	19	100887
Q13564	2	2	16568
P05026	7	10	87682
Q13586	4	4	27806
P05455	10	10	172547
P17516	1	1	42356
O94906	4	4	70844
P04271	1	1	51983
Q96FN4	1	1	8552
O95379	1	1	7369
O96019	2	2	39774
Q2M389	1	1	1093
Q99715	44	46	189461
P51991	10	13	211399
Q9H1K1	1	1	277001
P08195	9	10	185383
Q9H008	4	4	44154
P32929	3	3	65730
P04217	10	14	221216
P43686	6	6	37611
Q9BQI9	1	1	5643
Q96G23	1	1	21846
Q5SYB0	1	1	277998
P48637	20	23	230201
Q9UGV2	1	1	22553
P00533	2	2	31400
P63208	4	5	150216
P63010	9	9	159607
Q9UMS0	1	1	24625
P02549	25	26	106296
Q9H3Z4	1	1	20630
P21589	3	4	68600
A6NL28	3	4	96479
P04004	7	10	212919
P31323	4	4	34359
Q9UJW0	1	1	14517
Q9NR31	3	4	88144
P28074	2	3	43429
O95479	2	2	46432
O94979	11	11	109029
Q00610	50	62	262614
Q9UN86	2	2	91985
Q6AWC2	1	1	49061
Q9BZQ8	1	1	15695
Q9NRL2	1	1	219640
Q6P1X6	2	2	65952
P12956	24	29	226669
P29144	3	3	45750
P11217	1	1	22903
Q14157	1	1	10873
P49441	1	1	11884
O96009	3	3	78368
Q06124	1	1	18661
Q8WXD9	1	1	11233
Q14449	7	7	83322
Q4V328	2	2	32138
Q92626	10	10	55659
Q10570	2	2	155825
O43670	1	1	19693
O43175	8	8	62127
O75874	20	23	162657
Q9HCH0	1	1	4959
P36871	25	28	195971
O75569	2	2	37439
P69891	1	1	50375
Q8NE71	2	2	20448
P60174	19	29	1781066
Q16531	14	14	231319
Q08209	1	1	206342
P11172	1	1	24535
Q53RD9	1	1	57082
Q14376	2	2	303089
P38159	3	3	127485
P08559	9	9	211995
Q5JRX3	10	10	77730
Q9Y2S2	12	14	92396
O75367	7	9	246525
P37802	13	16	301866
O00303	7	8	227566
P51610	1	1	17688
O75369	75	90	174762
O75608	5	6	109107
Q8TCD5	4	4	61130
Q9HAU5	1	1	115111
P98095	4	4	87097
P10643	6	7	83130
O94855	2	2	55070
P11021	35	54	323966
Q96CP2	1	1	7106
P01833	10	10	120283
Q96AC1	7	8	81314
P16219	15	17	124528
Q9HB40	5	6	78986
O60240	25	28	126335
Q92598	9	9	111014
P55157	4	4	24844
Q9BUP3	6	6	94022
P60981	3	4	182601
Q6UB98	1	1	18419
P16401	4	4	380826
Q86X76	2	2	95618
Q16775	7	7	59352
P29536	1	1	24853
P24310	2	2	72915
Q86WU2	9	11	85520
Q9NZJ7	3	3	32709
Q04446	9	9	85316
Q68CK6	8	11	165659
Q9BXF6	2	2	18366
P48728	1	1	11192
Q99611	1	1	17032
O43504	1	1	140182
Q96AB3	7	10	86324
P10809	48	66	647089
Q04837	6	8	123974
Q15363	2	2	19996
O43493	2	2	8578
Q8NE62	12	13	153673
Q9BY66	1	1	29911
Q9HAC7	2	2	46416
P18206	54	60	291598
Q8NEY4	10	10	99411
Q96BS2	1	1	3571
P38117	14	17	167289
O15260	2	2	46754
Q8WXX7	1	1	41367
O94808	1	1	15851
Q96FZ7	1	1	14613
P22732	1	1	68601
Q9UF12	7	10	68006
P05783	37	51	883644
P08133	27	34	588473
O00232	3	3	207943
P84090	1	1	35820
Q8IUR0	1	1	63086
P15374	4	4	56046
P47985	2	4	68265
Q9Y6U3	17	19	161870
P13796	17	19	358336
P51812	1	1	11085
P41732	1	1	851
P40306	3	4	87269
P55072	29	34	241465
P20339	1	1	24295
Q99829	7	7	133484
Q9NYU2	13	13	97978
P31949	4	5	500211
P02753	3	3	100273
Q9Y285	2	2	22488
Q12907	4	4	92607
Q5VWZ2	6	6	110786
Q04941	1	1	12450
Q96I59	3	3	43990
P08648	1	1	15502
Q7L5N7	1	1	113758
P62136	3	3	129515
Q14766	1	1	38105
Q7L014	2	2	48554
Q9UQ80	11	12	257370
Q9UNL2	1	1	13795
Q8WUM4	17	20	125170
O60313	13	13	72874
P49908	1	1	1821
O95428	2	2	4608
Q14914	12	15	184959
O00499	4	4	51231
Q8TB37	1	1	1140
Q03154	26	34	213014
Q5TC12	1	1	196035
Q9Y287	1	1	2674
Q9BX66	12	12	97826
Q14974	10	13	125166
O43399	10	12	214524
Q7LBR1	1	1	47394
P04792	21	32	1955908
Q9NPA8	1	1	38914
Q9Y2D5	2	2	46207
O14732	4	4	90916
P55795	2	3	62619
Q14894	8	8	60879
Q96FW1	6	7	168121
Q6WKZ4	1	1	5151
Q969Z3	3	4	41351
P01824	1	1	27439
P02760	3	3	134498
P18077	3	4	113901
Q96DC8	9	10	82686
P41218	1	1	49065
P36578	10	10	284685
P00746	1	1	23396
Q15046	7	7	113846
Q9BRX8	4	4	68223
P25787	8	10	144806
P34059	2	2	23603
O95302	2	2	111231
O43837	6	7	54614
P00734	3	4	84397
P63241	3	4	49854
P50851	12	12	501833
O15320	1	1	9250
P25940	1	1	30724
Q86YH6	5	5	149220
Q8HWS3	1	1	12469
P22392	1	2	108911
Q96ER9	1	1	3229
P63096	1	2	38942
Q9NUQ6	2	2	12631
O95816	2	2	66982
Q12959	6	6	67847
O43182	2	2	29537
P07360	3	3	116265
P00918	13	18	271753
P02461	1	1	13079
Q9UJY5	1	1	5390
P36404	1	1	27326
Q8IUZ5	3	3	88193
Q6UX06	6	6	90378
P13866	2	2	13031
Q9NX14	2	2	36849
P82663	1	1	16538
O60869	1	1	72106
P16949	3	3	87469
Q9UI12	13	15	84172
Q9BVJ7	3	3	86296
Q92688	2	2	56352
P49023	1	1	10378
P28065	3	3	96442
P23588	8	9	100149
Q9NP92	1	1	8239
O14773	5	9	559941
Q96DA6	1	1	34417
P00846	1	1	21460
P35244	1	1	38406
P82909	5	7	48386
Q93099	9	11	153093
Q9H446	1	1	38255
P35237	7	9	196733
P26641	15	18	304972
Q5VUM1	1	1	10526
Q695T7	2	2	41979
P32322	1	1	20837
Q8NFU3	4	4	89826
O14879	1	1	11426
P13647	2	2	52274
P02774	10	11	154337
Q9ULV4	7	7	62534
Q96DB5	4	5	75310
Q01459	2	2	114106
Q96RQ1	1	1	7553
P00450	27	37	242577
Q15800	1	1	1926
Q96NL6	1	1	20342
O14832	3	3	25814
P20674	8	12	276419
P10301	2	2	32937
P55145	2	2	123741
Q9Y608	1	1	1250
Q9UHK6	12	16	82676
O75150	1	1	5145
Q9Y673	1	1	149336
O43143	7	7	111992
P48539	1	1	24175
Q53H12	2	2	21764
Q5T619	1	1	3897
P06454	5	8	131970
P49588	15	15	389846
Q92506	5	5	53456
Q9NRX4	3	5	112431
Q7L523	1	1	6028
O75506	1	1	2414
Q9NZU0	2	2	15177
P32119	10	12	443159
P23786	15	15	73999
P55042	1	1	36185
O14841	4	4	81324
Q13228	25	27	117133
Q9C0E2	1	1	39054
Q9H3S4	1	1	24854
O95169	1	1	19210
Q9Y4L1	14	17	259845
Q7RTV0	1	1	15180
Q99622	1	1	10162
P78540	9	11	48703
Q14152	10	12	88207
O14558	5	5	98419
P13987	1	1	31805
Q9H1A3	1	1	28377
Q9UL12	8	9	109445
P50895	7	7	166952
P15289	5	6	44873
P63279	1	1	79707
P98164	58	68	223806
P62701	3	3	109561
P00387	8	10	140507
P50238	1	1	62302
P16104	1	1	4367
Q5XKE5	1	1	356043
Q9H1E3	1	1	85587
O15230	42	49	153347
Q99684	1	1	43551
Q7L3T8	1	1	10436
Q9BSD7	2	2	34877
P22102	6	6	157505
O95758	1	1	24791
O00592	3	3	43873
Q09666	130	142	440023
Q9HCC0	16	20	92986
P07339	18	25	955982
P17655	16	17	391646
P04839	1	1	8613
Q07065	18	19	167716
Q6PCB0	11	17	94033
Q9P016	1	1	4089
Q15102	4	4	81768
Q6ZXV5	1	1	22439
Q96AY3	6	6	130302
Q14566	2	2	35923
P01608	1	1	60475
P05787	34	44	910498
Q16625	1	1	38911
Q13085	1	1	15810
P16278	10	10	309388
Q13442	3	3	76569
P35658	1	1	1641
Q9GZZ1	1	1	50386
Q13177	2	2	56544
Q8TAQ2	1	1	125340
Q9HBL7	2	2	41705
Q9ULZ2	1	1	3433
P67870	1	1	30846
Q14240	4	4	109329
Q14444	4	4	68923
O95793	1	1	12479
Q8IZR5	1	1	6972
Q08945	1	1	44627
Q00688	4	4	93166
P30711	5	7	106985
Q96DN5	1	1	23216
Q16698	13	17	245103
Q99536	13	15	194214
O00743	1	1	22731
Q02790	5	6	144191
Q13428	1	1	9968
P31146	7	7	200404
Q8WXH0	7	7	51237
Q9BYC9	1	1	15425
Q99797	2	2	51439
P61026	5	6	55810
Q16555	15	19	184607
O00299	11	12	553030
Q9Y305	5	5	53984
Q63ZY3	3	3	27872
Q8NFZ0	1	1	51876
O75937	2	2	37647
Q13823	1	1	25267
P46777	3	4	135760
Q8N8Y2	10	12	507401
P68400	1	1	20689
O00487	3	3	97392
Q9NXG2	2	2	92010
Q9C0E8	1	1	8281
P08237	16	16	422553
Q7Z3D6	9	10	79672
Q99614	1	1	50664
P46783	3	3	145939
Q9UDW1	2	2	47676
Q92945	10	11	204081
O95562	1	1	5818
Q9Y5K6	5	5	83874
P21964	2	2	35429
Q9NZA1	2	2	12618
P00540	1	1	36863
P07910	7	9	439037
Q13363	5	5	92179
O75131	5	5	119568
O43426	1	1	358496
O43301	10	10	331937
P45381	4	4	35215
O94919	1	1	10467
P40763	2	2	16667
P11233	1	1	36757
Q99490	1	1	123019
P09327	19	20	115941
Q8N335	4	4	95144
Q13310	3	3	81673
P62847	2	2	25548
O15394	1	1	39551
P05164	1	1	18166
P08637	1	1	24609
P04066	6	6	71066
Q92896	1	1	22725
O14786	2	2	22610
P0CW27	1	1	49845
P10153	2	2	16868
Q9NVT9	1	1	13016
O60701	16	18	300006
P31639	1	1	1571
P55196	1	1	28248
Q9UBD6	3	3	23178
Q9UKV3	1	1	1820
Q9UGT4	2	2	24172
Q6P2Q9	4	4	386854
O60841	1	1	18215
P15954	2	3	9916
P12277	17	27	49902
Q53EU6	4	4	42736
P01857	5	7	1958702
P08670	51	77	3948710
Q9Y295	3	3	65848
P11310	19	25	154021
P01137	1	1	14875
O95872	1	1	18155
Q13724	5	6	70451
P60900	5	6	123967
P15090	5	7	98348
Q9Y5M8	1	1	21594
P23381	11	15	133012
P54577	9	9	111677
Q9Y3B8	3	3	131440
P07585	10	12	160921
Q9NZQ9	1	1	26589
Q96AG4	7	7	141842
Q9UJS0	14	16	332290
Q9BV79	2	2	46892
P06748	10	16	444734
P21266	5	7	97153
P61088	2	4	100388
P54725	2	3	18425
B9A064	1	1	172492
Q16643	3	3	53312
Q96TA1	7	8	144579
P49406	3	3	62919
Q8TAT6	3	3	24882
Q9NR45	4	4	130214
P30626	6	7	227243
Q9NUJ1	10	14	75125
Q99733	7	7	70295
Q9NVS9	5	6	85624
P00740	7	9	151659
Q9BTU6	1	1	29126
Q99417	2	2	25826
P62993	3	3	75133
P16070	2	2	56503
Q9NZL9	4	4	96124
Q00013	1	1	12120
P28838	29	33	384390
O00142	1	1	33587
P41227	1	1	4355
Q08752	1	1	26449
Q9UN37	3	3	46740
P35573	5	5	79463
P30533	6	6	123937
O43678	3	4	119697
P62140	2	2	48065
Q9BRG1	1	1	40427
Q15654	1	1	12505
Q9BVL4	1	1	8378
P04434	1	1	16647
Q5TBA9	1	1	6435
Q9UHJ6	1	1	8165
Q7Z4H8	1	1	1630
P07711	3	3	37905
Q8WXF1	3	3	53097
P38606	30	42	314411
Q9BY49	5	5	68090
O43795	4	4	73392
O95989	1	1	35295
Q15599	3	3	36028
Q9H0A8	1	1	16875
Q8TB22	4	4	51457
P06733	32	48	3682230
O75629	1	1	18133
Q15366	4	4	306225
Q8N1F8	1	1	20118
P50914	3	4	108672
Q07507	1	1	64756
Q9Y4P3	2	2	24599
P09960	16	18	171792
A0FGR8	3	3	53181
P80303	2	2	39060
P08962	1	1	4415
Q56VL3	2	2	37829
Q96SU4	1	1	18273
Q00341	11	11	109105
P02787	29	40	526773
P10909	10	12	327760
Q9H1J5	1	1	157867
Q8N4T8	4	4	40836
P23284	12	14	495788
Q14558	1	1	27825
Q969Z0	1	1	19941
Q14657	1	1	3910
P04433	1	1	95295
Q9UBX5	2	2	105101
P49756	3	3	73379
P51911	4	4	112007
P46952	6	6	81563
Q9NUV9	2	2	54420
Q9NZW5	3	3	49473
Q96IU4	7	10	149344
P29692	9	10	309815
Q07960	12	15	252220
P13716	5	6	96579
P05166	19	25	208535
Q15628	2	2	20359
Q14562	1	1	6116
O43242	10	10	98244
O75439	3	3	65784
P10451	4	4	49105
Q14118	3	3	92579
P11047	28	36	251535
P25205	5	5	33724
A0AVT1	11	11	93496
Q15388	1	1	21619
Q16762	7	10	221813
Q6PI48	8	8	53245
Q14624	22	24	196271
O15439	7	7	41731
P98179	4	5	54887
Q9NX63	5	5	110580
Q9UI09	6	6	106450
Q75V66	1	1	26665
Q9P0Z9	4	4	20895
P82970	2	2	18681
Q6RW13	1	1	7097
P05556	11	11	125692
O15144	9	12	305203
Q96QZ7	1	1	1885
P22897	1	1	23044
P61966	1	1	3650
O43920	2	2	96268
Q12955	12	12	55027
Q15393	11	12	246644
O60885	1	1	63368
Q02880	1	1	20835
P48739	1	1	14807
P52788	3	3	68747
P29966	9	12	135310
P35613	5	5	132012
O95954	13	16	170919
P55263	3	4	65199
Q9BYV1	10	11	86571
Q8TEA8	2	2	24746
P02763	7	12	497078
Q9NXU5	3	3	63517
P49721	7	7	141831
Q99714	13	19	221154
P13861	9	9	84846
P30405	6	6	97448
Q6VY07	2	2	13298
P35219	1	1	31914
Q03252	19	19	130313
P26196	5	5	81928
Q08495	6	6	56074
P39748	1	1	49825
O75208	7	7	127519
P19971	16	20	180980
P09543	3	3	63823
O00231	6	6	101843
P01031	19	19	166705
P01699	1	1	26681
O95433	2	2	85967
Q15233	5	6	112310
P30046	2	2	95526
Q9Y5X3	8	9	121301
P46976	4	4	108028
P49736	2	2	17584
Q02487	1	1	20262
O15247	1	1	6656
Q13938	3	3	53986
P61916	2	2	84524
Q9BS92	4	4	60305
Q96BQ5	1	1	38888
Q8TF65	2	3	29716
Q8NBJ7	3	3	67277
Q5D862	1	1	17875
P30038	25	33	169013
O43681	3	4	125130
P40227	9	10	235302
Q6P1M3	2	2	15027
P49368	12	13	287136
P50135	5	5	117337
P11277	23	23	117550
Q9UBQ7	8	10	187336
O00116	1	1	31971
P19623	2	2	199608
O95295	1	1	32970
Q8IZF2	1	1	2220
Q16629	5	5	192496
Q13277	1	1	12078
P04196	7	8	98166
P47736	2	2	7245
P26038	33	41	660814
Q8WUY1	1	1	27517
Q9Y6N9	1	1	19784
Q96QK1	16	17	286265
Q86UE4	8	8	106403
A0AV96	3	3	28416
Q13409	7	7	78890
Q15287	1	1	9986
P02675	24	33	284070
Q96A26	4	4	123894
P08574	2	4	66421
